date,predicted_sales
2024-01-01,209.57489013671875
2024-01-02,393.0261535644531
2024-01-03,322.36126708984375
2024-01-04,285.1120300292969
2024-01-05,320.64111328125
2024-01-06,315.5919494628906
2024-01-07,302.6716003417969
2024-01-08,301.4624328613281
2024-01-09,306.28564453125
2024-01-10,284.73223876953125
2024-01-11,298.213623046875
2024-01-12,280.7373962402344
2024-01-13,296.22930908203125
2024-01-14,276.0494689941406
2024-01-15,291.4877014160156
2024-01-16,287.8707580566406
2024-01-17,269.26409912109375
2024-01-18,255.6632080078125
2024-01-19,287.71697998046875
2024-01-20,269.21337890625
2024-01-21,281.9010009765625
2024-01-22,257.8235168457031
2024-01-23,285.3992614746094
2024-01-24,268.0361633300781
2024-01-25,280.7539978027344
2024-01-26,300.6623229980469
2024-01-27,244.10655212402344
2024-01-28,280.5067138671875
2024-01-29,270.0331115722656
2024-01-30,231.4146270751953
